Episodes,Win Ratio 1,Win Ratio 2
100,40.0,52.0
200,39.0,55.00000000000001
300,47.0,48.0
400,34.0,59.0
500,44.0,46.0
600,45.0,52.0
700,44.0,50.0
800,37.0,55.00000000000001
900,50.0,38.0
1000,28.000000000000004,62.0
1100,44.0,47.0
1200,44.0,47.0
1300,43.0,49.0
1400,37.0,54.0
1500,43.0,52.0
1600,43.0,48.0
1700,37.0,53.0
1800,43.0,54.0
1900,44.0,46.0
2000,54.0,33.0
2100,46.0,48.0
2200,48.0,44.0
2300,51.0,39.0
2400,43.0,51.0
2500,53.0,40.0
2600,51.0,42.0
2700,27.0,65.0
2800,43.0,46.0
2900,42.0,54.0
3000,43.0,46.0
3100,41.0,55.00000000000001
3200,56.00000000000001,35.0
3300,44.0,52.0
3400,36.0,52.0
3500,41.0,52.0
3600,47.0,44.0
3700,47.0,44.0
3800,48.0,39.0
3900,54.0,40.0
4000,45.0,45.0
4100,53.0,35.0
4200,56.00000000000001,37.0
4300,47.0,44.0
4400,46.0,43.0
4500,60.0,34.0
4600,51.0,42.0
4700,56.99999999999999,36.0
4800,46.0,49.0
4900,26.0,69.0
5000,54.0,36.0
5100,62.0,30.0
5200,56.00000000000001,38.0
5300,59.0,37.0
5400,47.0,42.0
5500,34.0,64.0
5600,56.00000000000001,42.0
5700,52.0,41.0
5800,53.0,40.0
5900,46.0,44.0
6000,71.0,23.0
6100,55.00000000000001,37.0
6200,59.0,36.0
6300,53.0,43.0
6400,50.0,40.0
6500,56.99999999999999,38.0
6600,54.0,34.0
6700,52.0,45.0
6800,59.0,36.0
6900,56.99999999999999,37.0
7000,60.0,34.0
7100,51.0,43.0
7200,56.00000000000001,41.0
7300,53.0,37.0
7400,62.0,33.0
7500,75.0,20.0
7600,62.0,35.0
7700,56.99999999999999,39.0
7800,55.00000000000001,41.0
7900,56.00000000000001,37.0
8000,60.0,38.0
8100,56.00000000000001,36.0
8200,60.0,36.0
8300,66.0,31.0
8400,55.00000000000001,38.0
8500,66.0,25.0
8600,53.0,40.0
8700,61.0,38.0
8800,60.0,32.0
8900,64.0,33.0
9000,62.0,32.0
9100,65.0,30.0
9200,54.0,39.0
9300,63.0,34.0
9400,64.0,28.999999999999996
9500,69.0,27.0
9600,61.0,31.0
9700,65.0,31.0
9800,69.0,28.000000000000004
9900,66.0,30.0
10000,63.0,31.0
10100,59.0,32.0
10200,67.0,30.0
10300,65.0,32.0
10400,62.0,34.0
10500,60.0,36.0
10600,65.0,31.0
10700,65.0,32.0
10800,68.0,22.0
10900,66.0,27.0
11000,62.0,30.0
11100,63.0,34.0
11200,67.0,26.0
11300,73.0,22.0
11400,57.99999999999999,39.0
11500,65.0,31.0
11600,70.0,26.0
11700,69.0,25.0
11800,67.0,24.0
11900,62.0,33.0
12000,63.0,33.0
12100,64.0,30.0
12200,62.0,32.0
12300,66.0,31.0
12400,71.0,24.0
12500,70.0,26.0
12600,63.0,32.0
12700,62.0,36.0
12800,67.0,32.0
12900,70.0,27.0
13000,73.0,23.0
13100,61.0,34.0
13200,72.0,21.0
13300,63.0,34.0
13400,69.0,31.0
13500,63.0,31.0
13600,68.0,27.0
13700,69.0,25.0
13800,73.0,22.0
13900,68.0,24.0
14000,65.0,31.0
14100,56.00000000000001,36.0
14200,67.0,30.0
14300,63.0,33.0
14400,68.0,27.0
14500,66.0,31.0
14600,70.0,28.999999999999996
14700,64.0,31.0
14800,66.0,30.0
14900,71.0,23.0
15000,79.0,16.0
15100,75.0,21.0
15200,71.0,23.0
15300,68.0,31.0
15400,77.0,22.0
15500,74.0,21.0
15600,75.0,23.0
15700,76.0,20.0
15800,76.0,20.0
15900,74.0,23.0
16000,77.0,23.0
16100,73.0,22.0
16200,80.0,16.0
16300,76.0,20.0
16400,77.0,18.0
16500,75.0,20.0
16600,68.0,27.0
16700,79.0,18.0
16800,78.0,21.0
16900,73.0,24.0
17000,75.0,24.0
17100,75.0,21.0
17200,75.0,23.0
17300,74.0,20.0
17400,73.0,23.0
17500,82.0,17.0
17600,85.0,13.0
17700,74.0,22.0
17800,79.0,19.0
17900,75.0,23.0
18000,71.0,25.0
18100,83.0,10.0
18200,80.0,16.0
18300,78.0,20.0
18400,70.0,23.0
18500,80.0,18.0
18600,80.0,19.0
18700,76.0,22.0
18800,76.0,23.0
18900,79.0,20.0
19000,72.0,25.0
19100,73.0,25.0
19200,72.0,26.0
19300,73.0,19.0
19400,72.0,25.0
19500,84.0,16.0
19600,79.0,20.0
19700,75.0,24.0
19800,79.0,20.0
19900,80.0,16.0
20000,78.0,21.0
20100,85.0,12.0
20200,75.0,23.0
20300,82.0,15.0
20400,81.0,17.0
20500,73.0,24.0
20600,81.0,18.0
20700,83.0,15.0
20800,73.0,26.0
20900,89.0,10.0
21000,75.0,18.0
21100,72.0,27.0
21200,75.0,23.0
21300,77.0,21.0
21400,83.0,15.0
21500,85.0,14.000000000000002
21600,80.0,19.0
21700,85.0,13.0
21800,81.0,15.0
21900,81.0,17.0
22000,84.0,15.0
22100,80.0,17.0
22200,77.0,21.0
22300,77.0,21.0
22400,82.0,15.0
22500,76.0,21.0
22600,83.0,15.0
22700,82.0,16.0
22800,80.0,19.0
22900,86.0,11.0
23000,87.0,11.0
23100,78.0,21.0
23200,79.0,21.0
23300,77.0,20.0
23400,77.0,22.0
23500,88.0,12.0
23600,73.0,25.0
23700,81.0,16.0
23800,76.0,23.0
23900,81.0,18.0
24000,79.0,17.0
24100,80.0,16.0
24200,81.0,19.0
24300,82.0,17.0
24400,85.0,12.0
24500,84.0,14.000000000000002
24600,85.0,13.0
24700,86.0,14.000000000000002
24800,87.0,12.0
24900,78.0,22.0
25000,81.0,18.0
25100,82.0,17.0
25200,82.0,15.0
25300,80.0,15.0
25400,85.0,14.000000000000002
25500,84.0,13.0
25600,85.0,12.0
25700,76.0,21.0
25800,80.0,20.0
25900,85.0,15.0
26000,88.0,12.0
26100,83.0,13.0
26200,83.0,16.0
26300,87.0,13.0
26400,82.0,16.0
26500,85.0,13.0
26600,88.0,12.0
26700,83.0,16.0
26800,85.0,13.0
26900,82.0,16.0
27000,87.0,13.0
27100,80.0,19.0
27200,81.0,17.0
27300,80.0,17.0
27400,90.0,10.0
27500,88.0,12.0
27600,83.0,16.0
27700,85.0,15.0
27800,87.0,12.0
27900,81.0,19.0
28000,78.0,19.0
28100,87.0,12.0
28200,77.0,22.0
28300,87.0,10.0
28400,85.0,13.0
28500,84.0,14.000000000000002
28600,86.0,13.0
28700,80.0,19.0
28800,86.0,13.0
28900,90.0,9.0
29000,85.0,14.000000000000002
29100,87.0,11.0
29200,81.0,17.0
29300,85.0,14.000000000000002
29400,78.0,21.0
29500,89.0,11.0
29600,83.0,16.0
29700,89.0,10.0
29800,86.0,12.0
29900,88.0,12.0
30000,80.0,19.0
30100,84.0,14.000000000000002
30200,92.0,7.000000000000001
30300,84.0,15.0
30400,83.0,16.0
30500,84.0,15.0
30600,82.0,17.0
30700,82.0,16.0
30800,81.0,19.0
30900,85.0,14.000000000000002
31000,87.0,13.0
31100,87.0,12.0
31200,81.0,17.0
31300,87.0,12.0
31400,89.0,11.0
31500,88.0,12.0
31600,80.0,18.0
31700,92.0,8.0
31800,84.0,16.0
31900,79.0,20.0
32000,79.0,20.0
32100,81.0,19.0
32200,85.0,13.0
32300,88.0,11.0
32400,83.0,17.0
32500,86.0,13.0
32600,84.0,15.0
32700,84.0,15.0
32800,82.0,18.0
32900,83.0,17.0
33000,85.0,14.000000000000002
33100,90.0,10.0
33200,95.0,5.0
33300,81.0,18.0
33400,89.0,11.0
33500,83.0,16.0
33600,87.0,13.0
33700,84.0,16.0
33800,87.0,10.0
33900,87.0,13.0
34000,82.0,16.0
34100,85.0,14.000000000000002
34200,93.0,7.000000000000001
34300,89.0,10.0
34400,87.0,13.0
34500,86.0,13.0
34600,85.0,15.0
34700,91.0,7.000000000000001
34800,85.0,14.000000000000002
34900,90.0,10.0
35000,80.0,20.0
35100,86.0,14.000000000000002
35200,90.0,9.0
35300,88.0,12.0
35400,90.0,10.0
35500,82.0,16.0
35600,85.0,14.000000000000002
35700,85.0,13.0
